Iteração,Tempo
0,0 days 00:00:00
1,0 days 00:00:00
2,0 days 00:00:00
3,0 days 00:00:00.000894
4,0 days 00:00:00
5,0 days 00:00:00
6,0 days 00:00:00
7,0 days 00:00:00
8,0 days 00:00:00
9,0 days 00:00:00
10,0 days 00:00:00
11,0 days 00:00:00
12,0 days 00:00:00
13,0 days 00:00:00
14,0 days 00:00:00
15,0 days 00:00:00
16,0 days 00:00:00
17,0 days 00:00:00
18,0 days 00:00:00
19,0 days 00:00:00
20,0 days 00:00:00
21,0 days 00:00:00
22,0 days 00:00:00
23,0 days 00:00:00
24,0 days 00:00:00
25,0 days 00:00:00
26,0 days 00:00:00
27,0 days 00:00:00
28,0 days 00:00:00
29,0 days 00:00:00
30,0 days 00:00:00
31,0 days 00:00:00
32,0 days 00:00:00
33,0 days 00:00:00
34,0 days 00:00:00
35,0 days 00:00:00
36,0 days 00:00:00
37,0 days 00:00:00
38,0 days 00:00:00
39,0 days 00:00:00
40,0 days 00:00:00
41,0 days 00:00:00
42,0 days 00:00:00
43,0 days 00:00:00
44,0 days 00:00:00
45,0 days 00:00:00
46,0 days 00:00:00
47,0 days 00:00:00
48,0 days 00:00:00
49,0 days 00:00:00
